time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2019-05-13 06:51:02.059 UTC, ,125,3163909,1184,18056, , ,4, ,16, , , , , , , , , ,4,4, , , ,2,2,6, ,2, , , , , , , , , , , , , , ,18092,3, ,16799, , , , ,18137,8182870016,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,18137, ,1557730090483, , , , ,3145728,25923, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,31285904,-1, , , , , , ,23, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,3, , , ,13, , , , , , , , , 
2019-05-13 06:56:14.869 UTC, ,125,3160405,1184,14440,112, ,3,1,26,3,0.12, , , , , , , ,3,3, ,2,1,2,1,5, ,28,13, , , , , , , , , , , , , ,27182,4, ,26281, , , , ,27227,8181972992,7,7, , , , , ,4,178, , , , , , , , , , , , , , , , , , , , , , , , , ,27227, ,1557730574235, , , , ,3145728,27182, , ,22,0, , , ,3, , , ,3, , , , ,22,1,2048,1, , , , ,154354,40, , , , , , , , , , ,27566608,-1, , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-13 06:56:26.877 UTC, ,125,3163301,1184,17448, , ,4, ,5,1,0.20, , , , , , , ,4,4, , , ,2,2,6, ,1, , , , , , , , , , , , , , ,27182,4, ,26281, , , , ,27227,8181972992,7,7, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27227, ,1557730574235, , , , ,3145728,27182, , ,2,0, , , , , , , ,3, , , , ,2,1, , , , , , ,4096,2, , , , , , , , , , ,28248248,-1, , , , , , ,1, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-13 06:57:16.230 UTC, ,125,3160293,1184,14440, , ,3,1,24,3,0.13, , , , , , , ,3,3, ,2,1,2,1,5, ,26,12, , , , , , , , , , , , , ,27182,4, ,26281, , , , ,27227,8181780480,7,7, , , , , ,4,178, , , , , , , , , , , , , , , , , , , , , , , , , ,27227, ,1557730635746, , , , ,3145728,27182, , ,21,0, , , ,2, , , ,3, , , , ,21, ,2048,1, , , , ,152265,38, , , , , , , , , , ,27907168,-1, , , , , , ,17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-13 06:58:16.239 UTC, ,125,3164477,1184,18512,112, ,4, ,89,1,0.01, , , , , , , ,4,4, , , ,2,2,6, ,4,1, , , , , , , , , , , , , ,27182,4, ,26281, , , , ,27227,8181518336,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27227, ,1557730635746, , , , ,3145728,35093, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6185,4, , , , , , , , , , ,29270488,-1, , , , , , ,423, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,18, ,19, ,40, , , , , , , , , 
2019-05-13 06:58:23.199 UTC, ,125,3164365,1184,18512, , ,4, ,1, , , , , , , , , ,4,4, , , ,2,2,6, , , , , , , , , , , , , , , , ,27182,4, ,26281, , , , ,27227,8181518336,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,27227, ,1557730635746, , , , ,3145728,35093, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,29270488,-1, , , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1, , , , , , , , , 
2019-05-13 07:14:32.963 UTC, ,125,3160317,1184,14464, , ,3,2,26,3,0.12, , , , , , , ,3,3, ,2,2,2,1,5, ,30,13, , , , , , , , , , , , , ,36850,5, ,35514, , , , ,36895,7924465664,6,6, , , , , ,5,223, , , , , , , , , , , , , , , , , , , , , , , , , ,36895, ,1557731672526, , , , ,3145728,36850, , ,23,0, , , ,2, , , ,3, , , , ,23, ,2048,1, , , , ,170772,42, , , , , , , , , , ,27732696,-1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-13 07:15:23.023 UTC, ,125,3160317,1184,14464, , ,3,2,26,3,0.12, , , , , , , ,3,3, ,2,2,2,1,5, ,30,13, , , , , , , , , , , , , ,36850,5, ,35514, , , , ,36895,7924596736,6,6, , , , , ,5,223, , , , , , , , , , , , , , , , , , , , , , , , , ,36895, ,1557731722554, , , , ,3145728,36850, , ,23,0, , , ,2, , , ,3, , , , ,23, ,2048,1, , , , ,170772,42, , , , , , , , , , ,27907888,-1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2019-05-13 07:15:47.250 UTC, ,125,3163693,1184,17840, , ,4, ,5,1,0.20, , , , , , , ,4,4, , , ,2,2,6, ,2,1, , , , , , , , , , , , , ,36850,5, ,35514, , , , ,36895,7924637696,6,6, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,36895, ,1557731722554, , , , ,3145728,36850, , ,3,0, , , ,1, , , ,3, , , , ,3,1, , , , , , ,6185,4, , , , , , , , , , ,27907888,-1, , , , , , ,5, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2, , , , , , , , , 
2019-05-13 07:18:07.980 UTC, ,125,3160317,1184,14464, , ,3,2,26,3,0.12, , , , , , , ,3,3, ,2,2,2,1,5, ,30,13, , , , , , , , , , , , , ,36850,5, ,35514, , , , ,36895,7921242112,6,6, , , , , ,5,223, , , , , , , , , , , , , , , , , , , , , , , , , ,36895, ,1557731887573, , , , ,3145728,36850, , ,23,0, , , ,2, , , ,3, , , , ,23, ,2048,1, , , , ,170772,42, , , , , , , , , , ,27733512,-1, , , , , , ,18, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
